'Fecha', 'Hora', 'Segundos', 'Latencia (ms)', 'Download (Mbit/s)', 'Upload (Mbit/s)'
'26/06/2014 08:15:16', '1403788516', '18,12', '10,33', '2,07'
'26/06/2014 08:20:08', '1403788808', '16,928', '9,86', '2,06'
'26/06/2014 08:25:08', '1403789108', '24,398', '10,31', '1,99'
'26/06/2014 08:30:05', '1403789405', '19,391', '10,31', '2,06'
'26/06/2014 08:35:19', '1403789719', '17,564', '10,31', '2,08'
'26/06/2014 08:40:10', '1403790010', '21,776', '10,29', '1,93'
'26/06/2014 08:45:01', '1403790301', '20,345', '10,31', '2,07'
'26/06/2014 08:50:12', '1403790612', '23,683', '10,31', '2,06'
'26/06/2014 08:55:23', '1403790923', '14,941', '10,32', '2,05'
'26/06/2014 09:00:07', '1403791207', '12,954', '10,22', '1,94'
'26/06/2014 09:05:17', '1403791517', '13,669', '10,32', '1,91'
'26/06/2014 09:12:17', '1403791937', '20,663', '10,27', '2,07'
'26/06/2014 09:13:20', '1403792000', '21,06', '10,28', '2,05'
'26/06/2014 09:15:03', '1403792103', '17,802', '10,04', '1,97'
'26/06/2014 14:20:15', '1403810415', '0,1', '0,1', '0,1'
'26/06/2014 14:40:16', '1403811616', '0,1', '0,1', '0,1'
'26/06/2014 15:20:19', '1403814019', '16,054', '27,91', '27,07'
'26/06/2014 15:40:14', '1403815214', '24,319', '1,23', '5,21'
'26/06/2014 16:07:20', '1403816840', '0,1', '0,1', '0,1'
'26/06/2014 19:49:52', '1403830192', '15,338', '8,58', '1,99'
'26/06/2014 20:00:03', '1403830803', '18,358', '10,19', '1,83'
'26/06/2014 20:07:50', '1403831270', '0,1', '0,1', '0,1'
'26/06/2014 20:10:02', '1403831402', '0,1', '0,1', '0,1'
'26/06/2014 20:11:40', '1403831500', '0,1', '0,1', '0,1'
'26/06/2014 20:14:18', '1403831658', '0,1', '0,1', '0,1'
'26/06/2014 20:16:11', '1403831771', '0,1', '0,1', '0,1'
'26/06/2014 20:20:22', '1403832022', '16,928', '7,59', '1,92'
'26/06/2014 20:30:13', '1403832613', '19,948', '0,31', '0,39'
'26/06/2014 20:40:15', '1403833215', '14,702', '6,77', '1,80'
'26/06/2014 20:50:24', '1403833824', '15,656', '10,28', '2,03'
'26/06/2014 21:00:11', '1403834411', '18,835', '10,26', '2,05'
'26/06/2014 21:10:06', '1403835006', '20,742', '10,16', '1,99'
'26/06/2014 21:20:08', '1403835608', '19,391', '8,06', '1,84'
'26/06/2014 21:30:01', '1403836201', '14,623', '8,95', '1,96'
'26/06/2014 21:40:03', '1403836803', '22,888', '7,00', '2,03'
'26/06/2014 21:50:11', '1403837411', '20,981', '8,95', '1,99'
'26/06/2014 22:00:06', '1403838006', '21,935', '8,51', '2,00'
'26/06/2014 22:10:21', '1403838621', '26,306', '9,33', '2,04'
